queueLength:vector AmusementAlt1.TicketQueue (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue1 (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue2 (#0 - General-0-20190508-15:29:44-6408),,lifeTime:vector AmusementAlt1.EnterPark (#0 - General-0-20190508-15:29:44-6408),
0,0,0,0,0,0,89.865239569838,89.8652395698379959
53.109574332809,1,326.768765017014,1,16786.373887840947,1,153.469338497487,137.5518484061699946
68.853597132447,2,328.429953757535,0,16786.897159844994,0,167.355659018236,114.2460846854299912
70.636816755836,1,,,,,193.844125027784,124.9905278953399938
103.706050216828,0,,,,,242.238403064011,135.8055248475099567
106.432878216502,1,,,,,271.74455698589,99.013433170821997
134.401887963111,0,,,,,328.429953757535,122.2546059359700048
172.731123815068,1,,,,,357.641970781157,149.992915850289989
173.97072417674,0,,,,,369.528736571634,140.987431474599986
207.649054930869,1,,,,,415.329704671749,177.1949250616299871
228.541305097031,2,,,,,436.209929420533,207.2601125555199806
228.949816865012,3,,,,,477.904658628922,198.9635938599699891
230.712280431489,2,,,,,517.957828994436,198.1989199072500008
238.134779610116,3,,,,,540.642554715044,208.5050564353199995
278.941064768954,4,,,,,580.040432213525,222.3983798893299866
292.795622171783,3,,,,,608.316532337624,192.786070453690001
319.758909087188,4,,,,,640.358441993846,198.1221764174300112
326.768765017014,3,,,,,676.116598836858,233.5009618764199777
332.137498279722,4,,,,,712.57331896048,262.1222657865099555
333.0522070623,3,,,,,713.294549174413,243.6158772191299695
357.642052324195,4,,,,,803.168826496148,330.2474247519400012
389.397374854726,3,,,,,825.267306298035,333.4059710103299482
405.235876202092,2,,,,,874.378994111227,335.9393913392399315
415.530461883936,3,,,,,911.961081176954,362.0308302701399717
439.344708249735,2,,,,,952.594593999342,332.6600694034399327
442.236265576415,3,,,,,968.673109678168,341.1593457966099532
442.615636960437,4,,,,,1065.228087031537,418.9930919545499805
450.451053173971,5,,,,,1077.619878072238,419.838396779119988
469.678671955286,6,,,,,1153.63787479453,475.7389733980800185
472.921401744205,7,,,,,1179.343089471699,412.3542511517299532
478.683935153298,6,,,,,1208.892883958214,424.4657285657299315
491.861335287704,7,,,,,1226.253796386565,436.2211008245000117
517.798639467269,6,,,,,1299.816084090056,487.32002249733
538.439602771988,7,,,,,1307.261419222683,473.4039136869599795
545.790961960589,6,,,,,1360.938562547538,516.475694759290034
549.930250906813,7,,,,,1378.848592903532,537.359970500329835
571.211389896174,6,,,,,1426.570289463974,551.97471501027985
610.335790845548,5,,,,,1455.456130533479,546.4539229254498855
619.934524595905,6,,,,,1517.696691859463,586.298196936359998
627.513763881558,7,,,,,1523.565329762744,590.146139333460039
633.497924261494,6,,,,,1593.428601623137,588.5376437469599265
646.234995076986,7,,,,,1602.246296710744,570.470433391529922
657.781481293116,8,,,,,1655.173781378508,622.9941154963698835
677.898901396447,9,,,,,1655.419161589223,622.439969725920035
678.856716092378,8,,,,,1707.758512047424,663.121752406779931
702.018683797314,7,,,,,1741.502745060543,689.8424636322699805
766.988838319968,8,,,,,1772.487322768145,705.1863429240900105
784.23412172917,7,,,,,1784.858978794255,720.085771678709986
784.427155392483,8,,,,,1823.917666596494,706.5384510907399515
788.282427936675,7,,,,,1835.356939380883,716.6517758454799565
790.032695562063,8,,,,,1884.048956771147,760.4558842741098475
812.496061592729,9,,,,,1955.904013356697,808.727150318359914
833.857505535719,10,,,,,1969.183080968109,771.2001277705999175
841.488622403203,11,,,,,2043.280099028926,842.470531560200013
844.462867788245,12,,,,,2045.921828474272,824.2766479219499135
849.389319602134,11,,,,,2105.062533715315,858.2186769608199455
874.595574453695,12,,,,,2127.52455198178,843.8550457975400125
874.63114749252,11,,,,,2180.699208328181,861.7148806956799915
909.002207608026,12,,,,,2235.628756859243,907.4098113058498685
931.398494923105,13,,,,,2238.062488705118,909.7494123418798575
933.419190429284,14,,,,,2285.88270235763,954.402795869779988
933.819807293989,13,,,,,2316.399006946886,962.266417619589898
951.663503608357,12,,,,,2388.350093167192,1005.997015654000048
