queueLength:vector AmusementAlt2.TicketQueue1 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.SecurityQueue1 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.TicketQueue2 (#0 - General-0-20190508-14:44:08-6836),,queueLength:vector AmusementAlt2.SecurityQueue2 (#0 - General-0-20190508-14:44:08-6836),,lifeTime:vector AmusementAlt2.EnterPark (#0 - General-0-20190508-14:44:08-6836),
0,0,0,0,0,0,0,0,125.016416528042,125.0164165280399966
110.636596908141,1,135.686579386586,1,34.381952720732,1,101.715790730951,1,153.01273834989,137.095248258569995
115.66759641405,0,157.40435657846,0,88.271711736175,0,125.016416528042,0,155.661500246711,121.2795475259800067
125.690079174397,1,175.477697690616,1,176.050153926171,1,148.664752912728,1,157.40435657846,112.0014341243199848
127.513299696883,2,193.038688164212,0,219.470226296466,0,153.01273834989,0,193.038688164212,126.8725796967999878
135.686579386586,1,249.096829205359,1,344.917541549701,1,227.382555324949,1,217.628451883069,106.9918549749299923
175.477697690616,0,260.024556450121,0,378.427377910399,2,239.262730848744,0,239.262730848744,111.3409193838799916
196.478791413155,1,328.054883034905,1,394.569352343251,1,397.451151067004,1,260.024556450121,134.3344772757199615
231.44104354086,0,344.482044722881,0,397.451151067004,0,420.044269206921,0,271.565351660434,107.8937869268000039
271.17389508514,1,413.712596697081,1,773.973343437108,1,481.344523210559,1,298.197904011171,170.6846043142899696
311.020634639532,0,428.28824475152,0,791.141202793687,2,496.544119056046,0,324.412597728441,148.3624438022699785
318.215158077028,1,472.114653847549,1,791.815502212856,1,582.822638648573,1,344.482044722881,148.0032533097299843
328.054883034905,0,484.85797789345,0,796.189602651509,2,609.146176963609,0,374.504695871179,120.1374948982799816
340.193407428047,1,759.641885275789,1,808.819622206426,1,678.45417936879,1,420.044269206921,129.9304405782800126
352.496780835354,2,761.756005579144,0,851.047354202333,0,695.834067160619,0,428.28824475152,157.1143496663800072
361.538822039846,3,880.399154220188,1,937.678007705367,1,808.819622206426,1,444.700822706137,135.396034530130009
389.973864126529,4,897.989895969911,0,976.047774654509,2,811.478525616669,0,455.197697483892,136.9825394068599843
404.851446169544,3,1077.662923551884,1,981.041096985097,1,901.150222016047,1,484.85797789345,144.6645704654000038
413.712596697081,2,1105.962380043739,0,1004.895898743426,0,901.224595268388,0,496.544119056046,151.626577506349974
460.847515137722,1,1138.439447606548,1,1021.420454508359,1,1004.895898743426,1,511.61900771682,159.1222268814699981
472.114653847549,0,1144.235306524292,0,1048.584857879169,2,1021.687464882609,0,530.969674954324,152.542297043929977
488.264080204856,1,1294.300128775957,1,1057.735285973008,1,1067.801261792832,1,549.553524186718,188.0147021468699782
532.543918116907,0,1297.936492928621,0,1067.801261792832,0,1094.63530731927,0,602.812625608395,212.8387614818699938
624.010501904272,1,1376.077289840498,1,1531.274150485078,1,1144.201242691938,1,609.146176963609,130.0823759135599852
646.192981429248,0,1414.519492478391,0,1543.274548985009,0,1163.818743743944,0,645.541602110307,120.8811435197600015
